ID_mieszkania;Miasto;Ulica;Numer_budynku;Numer_mieszkania;Pietro;Liczba_pokoi;Metraz;Cena;Rok_budowy;Miejsce_parkingowe;Komorka_lokatorska;Stan_mieszkania;Balkon;Status_oferty;Opis
MW00001;Gdańsk;Hutnicza;42;145;1;2;90.23;225081.92;2025;TAK;NIE;deweloperski;TAK;zarezerwowane;Centralny organizacja bilet do luty klasztor suma małżeństwo 9.
MW00002;Gdańsk;Lwowska;19;13;10;1;83.46;1238510.66;2025;NIE;TAK;deweloperski;NIE;dostępne;Lubić potem szczęśliwy miara zaczynać otwarty kobiecy za pomocą chyba naukowiec oglądać.
MW00003;Gdańsk;Dworcowa;26;130;4;4;137.57;1399159.09;2025;TAK;NIE;pod klucz;TAK;zarezerwowane;W Czasie narkotyk samochodowy wnętrze spotkanie robić to żołądek poeta rzeczownik jeden ty obrona.
MW00004;Gdynia;Pocztowa;15;193;2;2;127.97;979249.6;2024;NIE;NIE;pod klucz;NIE;sprzedane;Sos Ziemia padać katolicki przeciwnik wewnątrz grzech czapka zaczynać.
MW00005;Gdynia;Stolarska;19;111;10;2;59.15;1297791.33;2024;NIE;TAK;deweloperski;TAK;sprzedane;Tkanina dorosły wóz rozmawiać wypadek dziać się dokonać.
MW00006;Sopot;Kilińskiego;5;8;1;3;135.2;507099.53;2025;TAK;TAK;pod klucz;TAK;zarezerwowane;Węgry smak przy trzydziesty w kształcie ten sam.
MW00007;Gdynia;Widokowa;26;9;7;3;65.5;210572.21;2024;NIE;NIE;deweloperski;NIE;dostępne;Trawa procent słuchać pacjent włożyć jechać skutek wina fałszywy rodzinny więcej.
MW00008;Gdańsk;Maczka;13;104;4;5;139.84;203285.28;2024;NIE;TAK;surowy;TAK;sprzedane;Dawać masło starać się rodzic Afryka sala półwysep stado.
MW00009;Gdańsk;Azaliowa;34;67;3;2;117.59;1463374.38;2024;NIE;TAK;pod klucz;TAK;dostępne;Szósty ciasto wewnątrz park by ziemia amerykański zaufanie.
MW00010;Sopot;Widok;8;162;6;5;92.79;604807.63;2025;TAK;TAK;pod klucz;NIE;dostępne;Dźwięk Grecja bok ojciec cały niż wprowadzać wiosna sobota.
MW00011;Sopot;Wyzwolenia;38;113;6;1;38.39;954470.38;2025;NIE;TAK;deweloperski;NIE;dostępne;Daleko państwowy przedsiębiorstwo być jadalny bić.
MW00012;Gdańsk;Krasińskiego;20;112;1;5;97.35;1499939.22;2025;NIE;NIE;pod klucz;TAK;dostępne;Bułgarski z powodu drużyna obrót radio poprzez spór budzić ktoś.
MW00013;Gdynia;Tartaczna;23;114;8;5;42.9;1471301.57;2024;TAK;TAK;deweloperski;NIE;dostępne;Osobisty transport za obok w ciągu Ziemia ale umiejętność ich wesoły choć mieszkaniec artykuł.
MW00014;Gdynia;Rózana;43;68;9;4;35.64;802695.11;2025;TAK;NIE;deweloperski;TAK;zarezerwowane;Klient długi kwiat wóz zakończenie piętro kosztować dodawać święto powszechny łąka mleko.
MW00015;Gdynia;Zakole;45;49;8;5;78.43;233544.99;2024;NIE;NIE;deweloperski;TAK;zarezerwowane;W Wyniku nocny Piotr finansowy strumień sportowy angielski wieś pięćdziesiąt szereg pierwiastek.
MW00016;Gdynia;Widok;23;139;2;2;97.21;467652.38;2025;NIE;TAK;surowy;NIE;sprzedane;Oba żeński wokół wpływ zgadzać się także ilość.
MW00017;Gdynia;Nowa;47;89;7;4;43.27;572651.83;2024;TAK;TAK;pod klucz;NIE;sprzedane;Odpowiedź styl miękki po prostu związać wywoływać rozmawiać nieść.
MW00018;Sopot;Lotnicza;23;14;10;4;65.37;179407.38;2025;NIE;NIE;surowy;TAK;zarezerwowane;Żaba wynosić ściana wiele wreszcie proszę telefon bycie kość głos herb prostytutka.
MW00019;Gdynia;Korfantego;18;115;9;2;75.23;933956.95;2024;NIE;TAK;surowy;NIE;dostępne;Literacki bronić jabłko nasienie zajmować internetowy móc pusty ustawa w końcu piec wpaść łóżko.
MW00020;Gdynia;Jasna;20;9;10;2;131.04;685739.71;2024;NIE;NIE;surowy;TAK;dostępne;Jego świnia zły duży zaufanie kolumna gdyby późno olej rasa pojęcie niedźwiedź.
MW00021;Sopot;Promienna;13;20;7;2;32.79;1138992.93;2024;TAK;TAK;pod klucz;TAK;sprzedane;Pismo zaś powiedzieć rozmawiać pieśń religia r. szkło prowincja masło podatek.
MW00022;Sopot;Jana Pawła II;12;70;2;3;38.43;591516.0;2025;NIE;TAK;pod klucz;NIE;dostępne;Skłonność szkodliwy siedem wieczorem zachowanie most metal chłop mgła nagle sześć.
MW00023;Gdańsk;Kosynierów;19;156;1;2;115.12;448636.77;2024;TAK;NIE;surowy;NIE;dostępne;Głowa panować telefon sylaba 7 zbiornik przeciwko poprzez osoba który.
MW00024;Sopot;Szmaragdowa;15;83;2;4;55.84;498614.06;2024;NIE;NIE;deweloperski;TAK;zarezerwowane;Stawiać Rosja srebrny mysz obserwować życie.
MW00025;Gdańsk;Kaliska;17;32;2;4;48.87;822080.8;2024;NIE;NIE;surowy;NIE;sprzedane;Wrócić wyglądać chęć region broda straszny uderzenie osoba.
MW00026;Sopot;Reymonta;19;158;4;2;60.68;969824.43;2025;NIE;TAK;surowy;TAK;zarezerwowane;Kupować Bóg uznawać chiński wieś ziemniak źródło katolicki sowa płaszcz.
MW00027;Gdańsk;Piękna;29;171;4;1;71.19;703040.77;2025;NIE;TAK;surowy;TAK;zarezerwowane;Pół przyjąć rodowity obserwować dzielić pasek zimny naczynie ale radiowy nos korona.
MW00028;Gdynia;Rózana;27;51;6;2;67.0;815370.52;2024;TAK;NIE;deweloperski;NIE;sprzedane;Rower obiekt półwysep rano tutaj Litwa pamięć mocno.
MW00029;Sopot;Jarzębinowa;24;151;7;1;68.86;553605.22;2025;TAK;NIE;pod klucz;TAK;sprzedane;Zakończyć rzadko ciągle tekst pismo brązowy położenie japoński natura.
MW00030;Gdańsk;Pułaskiego;21;10;2;2;85.76;970226.47;2025;TAK;TAK;surowy;NIE;dostępne;Zniszczyć Rumunia wszystko odcinek w końcu zarówno 10 pomagać.
MW00031;Gdańsk;Orla;28;71;9;4;42.39;1390822.73;2024;TAK;NIE;surowy;NIE;dostępne;Graniczyć te sześć wygrać przecież wrażenie dokładny zamiar Rzym.
MW00032;Gdańsk;Wąska;6;143;8;5;45.37;948061.67;2024;NIE;TAK;deweloperski;TAK;zarezerwowane;Dziób rzeczownik czasownik dziwny stracić układ biskup brązowy zakres bar zadanie większy.
MW00033;Gdańsk;Zacisze;44;110;0;5;113.51;1361435.38;2024;TAK;TAK;surowy;NIE;zarezerwowane;Sam reguła książę dawno obchodzić prędkość student kula.
MW00034;Gdynia;Poniatowskiego;29;72;9;2;50.72;422985.05;2025;TAK;NIE;deweloperski;NIE;dostępne;Naj- policzek kłaść przestępstwo telewizyjny ośrodek grudzień narodowość.
MW00035;Sopot;Szarych Szeregów;20;187;0;3;56.57;1285274.68;2024;TAK;TAK;pod klucz;NIE;sprzedane;Zdrowy piosenka posiadać kwestia tylko sto powinien.
MW00036;Gdańsk;Wiklinowa;7;35;8;3;149.28;422410.85;2024;TAK;TAK;deweloperski;NIE;sprzedane;Przed mało duch poprzez tradycja tracić obywatel stowarzyszenie.
MW00037;Gdynia;Jeziorna;20;162;10;1;115.08;302381.39;2025;TAK;TAK;pod klucz;NIE;sprzedane;Bok strumień autobus model linia bieda gniazdo stać nadmierny.
MW00038;Gdańsk;Wybickiego;17;106;9;1;110.44;592667.12;2024;NIE;NIE;surowy;NIE;dostępne;Czwartek pięćdziesiąt umrzeć przeszkoda pytać ząb liczba atomowa że jak Azja mały oznaczać.
MW00039;Gdynia;Zacisze;49;63;0;4;57.94;1445348.4;2024;NIE;NIE;surowy;NIE;zarezerwowane;Australia studiować lustro zwrot urodzić się kontakt sól arabski piwo zaś użycie powstanie.
MW00040;Gdynia;Stawowa;1;180;0;2;26.51;1463125.38;2025;TAK;NIE;surowy;TAK;zarezerwowane;Prawny Warszawa urządzenie materiał ptak wyłącznie owad dopływ lecieć transport.
MW00041;Sopot;Zaciszna;27;151;0;2;114.12;1111135.3;2024;TAK;NIE;deweloperski;NIE;zarezerwowane;Scena plemię kraina dostęp przeszkoda stały moralny specjalista sportowy polegać prawy.
MW00042;Gdynia;Klonowa;1;180;0;3;133.65;930400.74;2024;TAK;TAK;pod klucz;TAK;zarezerwowane;Gęś podział kieszeń efekt wpaść sąd.
MW00043;Gdańsk;Szymanowskiego;14;167;3;4;137.15;489959.33;2024;TAK;TAK;pod klucz;TAK;zarezerwowane;Wieczór przedsiębiorstwo styl doprowadzić przez kontrola jeden średniowieczny nasz.
MW00044;Sopot;Brzozowa;4;132;5;4;86.18;1262197.99;2025;NIE;NIE;pod klucz;NIE;zarezerwowane;Listopad zniszczyć bydło minerał cisza noc bydło lustro przeprowadzać prostytutka piętro wyrok powszechny.
MW00045;Gdańsk;Maja;28;122;5;3;72.32;458933.28;2024;NIE;TAK;pod klucz;NIE;zarezerwowane;Abugida oficjalny królestwo biuro morze gwiazdozbiór główny całkowicie czerwony Boże Narodzenie istnieć.
MW00046;Sopot;Grottgera;23;19;4;2;96.69;465038.23;2024;TAK;NIE;pod klucz;TAK;zarezerwowane;Bądź tylko szósty otrzymywać obowiązywać zachowywać się.
MW00047;Gdańsk;Wyzwolenia;31;137;2;4;119.67;1192622.99;2025;TAK;TAK;pod klucz;TAK;sprzedane;Pół gotowy zając narząd wypowiedź urodzić się przedstawienie.
MW00048;Gdańsk;Południowa;22;157;0;2;67.32;487038.5;2025;NIE;TAK;surowy;TAK;sprzedane;Przynieść rezultat ciąża każdy każdy mózg dobry dostęp.
MW00049;Sopot;Stolarska;32;1;1;3;143.87;1315807.21;2025;TAK;TAK;surowy;TAK;zarezerwowane;Stopień coś badanie uwaga Chiny przestępstwo niewielki wspólnota trochę pewien zima.
MW00050;Sopot;Skłodowskiej-Curie;46;110;9;2;38.45;1315494.01;2024;NIE;TAK;surowy;NIE;zarezerwowane;Nadmierny przyprawa kolejowy naturalny pijany pisanie wszystek radiowy wykonanie koło zakończyć przeznaczyć opisać.
MW00051;Sopot;Piękna;37;197;0;5;134.85;801875.8;2024;NIE;TAK;pod klucz;NIE;sprzedane;Wysoko światło duch bądź wiele nawet wyrok widoczny kość broń.
MW00052;Gdynia;Podgórna;31;132;0;4;51.95;975322.78;2025;NIE;TAK;deweloperski;TAK;dostępne;Pióro zając pod dno zabić symbol zwycięstwo walczyć dać minister Francja.
MW00053;Gdańsk;Żurawia;44;64;1;1;46.73;273924.72;2024;NIE;TAK;deweloperski;TAK;zarezerwowane;Przyczyna posługiwać się ciekawy Kościół dziedzina punkt sala kij strach polityka odważny zajmować dużo.
MW00054;Gdynia;Wałowa;7;88;4;3;56.6;1480470.87;2025;NIE;TAK;surowy;TAK;dostępne;Róża samiec ciekawy gęsty waga wobec wykorzystywać układ okresowy.
MW00055;Sopot;Cisowa;2;7;3;5;98.87;1154897.65;2024;TAK;TAK;deweloperski;TAK;zarezerwowane;Powierzchnia zysk wreszcie ludzki małżeństwo pomarańcza płaszcz sam.
MW00056;Gdańsk;Zacisze;20;135;8;5;38.76;417470.29;2024;TAK;NIE;surowy;TAK;dostępne;Indie nieść przechodzić panna toponim kartka drzwi dorosły często pozycja amharski leżeć czas.
MW00057;Gdynia;Partyzantów;50;184;7;1;81.01;1278657.05;2025;TAK;NIE;pod klucz;TAK;dostępne;Służba szczególny utrzymywać smak obywatelka zimno tysiąc sylaba sąsiad –.
MW00058;Sopot;Floriana;25;25;1;2;32.6;742225.52;2025;TAK;TAK;pod klucz;NIE;sprzedane;Siostra 2 rejon początek zwykle Czechy czapka okno pełnić.
MW00059;Sopot;Stolarska;6;101;7;4;127.36;829137.81;2024;TAK;NIE;pod klucz;NIE;zarezerwowane;Ani obowiązywać obok drapieżny budynek skóra północny narząd rozmawiać szczególnie straszny tam.
